airportCode,airportName,city,state,country,airportLatitude,airportLongitude,cityId,attractionId
PBI,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417,20024490,eyJ1ZmkiOjIwMDI0NDkwfQ==
PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,20104927,eyJ1ZmkiOjIwMTA0OTI3fQ==
PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083,20111994,eyJ1ZmkiOjIwMTExOTk0fQ==
PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556,20006890,eyJ1ZmkiOjIwMDA2ODkwfQ==
PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,20112087,eyJ1ZmkiOjIwMTEyMDg3fQ==
PVD,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111,20115245,eyJ1ZmkiOjIwMTE1MjQ1fQ==
RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,20094466,eyJ1ZmkiOjIwMDk0NDY2fQ==
RIC,Richmond International,Richmond,VA,USA,37.50516667,-77.31966667,20141027,eyJ1ZmkiOjIwMTQxMDI3fQ==
RNO,Reno Tahoe International,Reno,NV,USA,39.49857611,-119.7680647,20079268,eyJ1ZmkiOjIwMDc5MjY4fQ==
RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667,,
SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,20015725,eyJ1ZmkiOjIwMDE1NzI1fQ==
SAT,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778,20131185,eyJ1ZmkiOjIwMTMxMTg1fQ==
SDF,Louisville International-Standiford ,Louisville,KY,USA,38.17438889,-85.736,20046120,eyJ1ZmkiOjIwMDQ2MTIwfQ==
SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131,20144883,eyJ1ZmkiOjIwMTQ0ODgzfQ==
SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433,20015732,eyJ1ZmkiOjIwMDE1NzMyfQ==
SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,20015742,eyJ1ZmkiOjIwMDE1NzQyfQ==
SJU,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333,20154335,
SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,20133956,eyJ1ZmkiOjIwMTMzOTU2fQ==
SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,20015688,eyJ1ZmkiOjIwMDE1Njg4fQ==
SNA,John Wayne  Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,20015791,eyJ1ZmkiOjIwMDE1NzkxfQ==
STL,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972,,
TPA,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325,20024246,eyJ1ZmkiOjIwMDI0MjQ2fQ==
TUL,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167,20103791,eyJ1ZmkiOjIwMTAzNzkxfQ==
TUS,Tucson International,Tucson,AZ,USA,32.11608333,-110.9410278,20007417,eyJ1ZmkiOjIwMDA3NDE3fQ==
ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167,20105403,eyJ1ZmkiOjIwMTQyOTQzfQ==
ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722,20126162,
ABR,Aberdeen Regional,Aberdeen,SD,USA,45.44905556,-98.42183333,-2587757,
ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333,20084630,eyJ1ZmkiOjIwMDg0NjMwfQ==
ACK,Nantucket Memorial,Nantucket,MA,USA,41.25305194,-70.06018139,20062728,eyJ1ZmkiOjIwMDYyNzI4fQ==
ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917,20132129,eyJ1ZmkiOjIwMTMyMTI5fQ==
ACV,Arcata,Arcata Eureka,CA,USA,40.97811528,-124.1086189,,
ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667,20080494,eyJ1ZmkiOjIwMDgwNDk0fQ==
ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306,,
ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553,20005290,
AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611,20135442,eyJ1ZmkiOjIwMTM1NDQyfQ==
AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611,20024822,
AKN,King Salmon,King Salmon,AK,USA,58.67680167,-156.6492175,20005276,
ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861,20084630,eyJ1ZmkiOjIwMDg0NjMwfQ==
ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361,20041902,
AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272,20126270,eyJ1ZmkiOjIwMTI2MjcwfQ==
APN,Alpena County Regional ,Alpena,MI,USA,45.0780675,-83.56028583,20063784,
ART,Watertown Intl,Watertown,NY,USA,43.99192222,-76.02173861,20090397,eyJ1ZmkiOjIwMDkwMzk3fQ==
ASE,Aspen-Pitkin Co Sardy ,Aspen,CO,USA,39.22316,-106.868845,20017058,eyJ1ZmkiOjIwMDE3MDU4fQ==
ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556,20149290,eyJ1ZmkiOjIwMDUxNDM3fQ==
AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556,20090971,eyJ1ZmkiOjIwMDkwOTcxfQ==
AVP,Wilkes-Barre Scranton Intl,Wilkes-Barre Scranton,PA,USA,41.33814944,-75.7242675,,
AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.5520575,20065062,eyJ1ZmkiOjIwMDY1MDYyfQ==
BET,Bethel,Bethel,AK,USA,60.77977639,-161.8379975,20051519,eyJ1ZmkiOjIwMDUxNTE5fQ==
BFL,Meadows ,Bakersfield,CA,USA,35.43359806,-119.0567681,20011460,
BGM,Binghamton Regional,Binghamton,NY,USA,42.20848278,-75.97961361,20085036,
BGR,Bangor International,Bangor,ME,USA,44.80744444,-68.82813889,20051474,eyJ1ZmkiOjIwMDUxNDc0fQ==
BIL,Billings Logan Intl,Billings,MT,USA,45.8076625,-108.5428611,20076133,eyJ1ZmkiOjIwMDc2MTMzfQ==
BIS,Bismarck Municipal,Bismarck,ND,USA,46.77411111,-100.7467222,20095945,eyJ1ZmkiOjkwMDA1NjY0M30=
BJI,Bemidji-Beltrami County,Bemidji,MN,USA,47.50942417,-94.93372333,20066733,
BLI,Bellingham Intl,Bellingham,WA,USA,48.79275,-122.5375278,20143075,eyJ1ZmkiOjIwMTQzMDc1fQ==
BMI,Central Illinois Regional,Bloomington,IL,USA,40.47798556,-88.91595278,20066783,eyJ1ZmkiOjIwMDY2NzgzfQ==
BOI,Boise Air Terminal,Boise,ID,USA,43.56444444,-116.2227778,20031434,eyJ1ZmkiOjIwMDMxNDM0fQ==
BPT,Southeast Texas Regional,Beaumont Port Arthur,TX,USA,29.95083333,-94.02069444,,
BQK,Glynco Jetport,Brunswick,GA,USA,31.25902778,-81.46630556,20025335,eyJ1ZmkiOjIwMDUxNTk3fQ==
BQN,Rafael Hernandez,Aguadilla,PR,USA,18.49486111,-67.12944444,20153243,
BRD,Brainerd-Crow Wing County Regional,Brainerd,MN,USA,46.39785806,-94.1372275,20066805,
BRO,Brownsville S.Padre Island International,Brownsville,TX,USA,25.90683333,-97.42586111,20126821,
BRW,Wiley Post Will Rogers Memorial,Barrow,AK,USA,71.2854475,-156.7660019,-1500810,
BTM,Bert Mooney,Butte,MT,USA,45.95479528,-112.49746,20076214,
BTR,Baton Rouge Metropolitan,Baton Rouge,LA,USA,30.53316083,-91.14963444,20048321,
BTV,Burlington International,Burlington,VT,USA,44.47300361,-73.1503125,20134593,eyJ1ZmkiOjIwMTM0NTkzfQ==
BZN,Gallatin ,Bozeman,MT,USA,45.77690139,-111.1530072,20076176,eyJ1ZmkiOjIwMDc2MTc2fQ==
CAE,Columbia Metropolitan,Columbia,SC,USA,33.93884,-81.11953944,20116092,eyJ1ZmkiOjIwMTE2MDkyfQ==
CAK,Akron-Canton Regional,Akron,OH,USA,40.91631194,-81.44246556,20096766,eyJ1ZmkiOjIwMTA1MzU0fQ==
CDC,Cedar City Muni,Cedar City,UT,USA,37.70097028,-113.098575,20132772,eyJ1ZmkiOjIwMTMyNzcyfQ==
CDV,Merle K (Mudhole) Smith,Cordova,AK,USA,60.49183389,-145.4776503,20121399,eyJ1ZmkiOjIwMTIxMzk5fQ==
CEC,Jack McNamara ,Crescent City,CA,USA,41.78015722,-124.2365333,20012390,
CHA,Lovell ,Chattanooga,TN,USA,35.03526833,-85.20378778,20121171,eyJ1ZmkiOjIwMTIxMTcxfQ==
CHO,Charlottesville-Albermarle,Charlottesville,VA,USA,38.13863889,-78.45286111,20136635,eyJ1ZmkiOjIwMTM2NjM1fQ==
CIC,Chico Municipal,Chico,CA,USA,39.79538278,-121.8584231,20012160,
CID,Eastern Iowa ,Cedar Rapids,IA,USA,41.88458833,-91.71087222,20040169,
CIU,Chippewa County International,Sault Ste. Marie,MI,USA,46.25075194,-84.47238528,-573226,
CLD,MC Clellan-Palomar Airport,NA,NA,USA,33.127231,-117.278727,,
CLL,Easterwood ,College Station,TX,USA,30.58858944,-96.36382417,20127267,
CMI,University of Illinois-Willard,Champaign Urbana,IL,USA,40.03925,-88.27805556,,
CMX,Houghton County Memorial,Hancock,MI,USA,47.16841722,-88.48906083,20062338,eyJ1ZmkiOjIwMDYyMzM4fQ==
CNY,Canyonlands ,Moab,UT,USA,38.75495611,-109.7548439,20133603,eyJ1ZmkiOjIwMTMzNjAzfQ==
COD,Yellowstone Regional,Cody,WY,USA,44.52019417,-109.0237961,20151717,eyJ1ZmkiOjIwMTUxNzE3fQ==
COS,City of Colorado Springs Muni,Colorado Springs,CO,USA,38.80580556,-104.70025,20017286,eyJ1ZmkiOjIwMDE3Mjg2fQ==
COU,Columbia Regional,Columbia,MO,USA,38.81809306,-92.21962917,20116092,eyJ1ZmkiOjIwMTE2MDkyfQ==
CPR,Natrona County Intl,Casper,WY,USA,42.90835556,-106.4644661,20151704,
CRP,Corpus Christi International,Corpus Christi,TX,USA,27.77036083,-97.50121528,20127357,eyJ1ZmkiOjIwMTI3MzU3fQ==
CRW,Yeager,Charleston,WV,USA,38.37315083,-81.59318972,20115955,eyJ1ZmkiOjIwMTE1OTU1fQ==
CSG,Columbus Metropolitan,Columbus,GA,USA,32.51633333,-84.93886111,20097699,eyJ1ZmkiOjIwMDk3Njk5fQ==
CWA,Central Wisconsin,Mosinee,WI,USA,44.77761917,-89.66677944,20150639,
CYS,Cheyenne,Cheyenne,WY,USA,41.1557225,-104.8118381,20151708,
DAB,Daytona Beach International,Daytona Beach,FL,USA,29.17991667,-81.05805556,20022037,eyJ1ZmkiOjIwMDIyMDM3fQ==
DAY,James M Cox Dayton Intl,Dayton,OH,USA,39.90237583,-84.219375,20097871,
DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722,20040387,
DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889,20001223,
DIK,Dickinson Municipal,Dickinson,ND,USA,46.79738889,-102.8019528,20096063,eyJ1ZmkiOjIwMTI3NjA5fQ==
DLG,Dillingham,Dillingham,AK,USA,59.0454125,-158.5033389,20091980,
DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861,20067097,eyJ1ZmkiOjIwMDY3MDk3fQ==
DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692,20017380,eyJ1ZmkiOjIwMDE3MzgwfQ==
DRT,Del Rio International,Del Rio,TX,USA,29.37181222,-100.9232339,20127559,
DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222,20040350,eyJ1ZmkiOjIwMTQzNDQwfQ==
DVL,Devils Lake Municipal-Knoke ,Devils Lake,ND,USA,48.11424528,-98.90877833,20096061,
EAU,Chippewa Valley Regional,Eau Claire,WI,USA,44.86525722,-91.48507194,20149833,
EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953,20017385,eyJ1ZmkiOjIwMDE3Mzg1fQ==
EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964,20078978,
ELM,Elmira Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333,20086277,
ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556,20107905,eyJ1ZmkiOjIwMTA3OTA1fQ==
ESC,Delta County,Escanaba,MI,USA,45.72266972,-87.09373139,20064551,
EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856,20104368,eyJ1ZmkiOjIwMTA0MzY4fQ==
EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667,20037358,
EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444,20093871,
EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556,20022831,eyJ1ZmkiOjIwMDIyODMxfQ==
FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694,20005153,eyJ1ZmkiOjIwMDA1MTUzfQ==
FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889,20096125,
FAT,Fresno Yosemite International,Fresno,CA,USA,36.77619444,-119.7181389,20013079,eyJ1ZmkiOjIwMDEzMDc5fQ==
FAY,Fayetteville Municipal,Fayetteville,NC,USA,34.99147222,-78.88,20092290,eyJ1ZmkiOjIwMDA4Njk1fQ==
FCA,Glacier Park Intl,Kalispell,MT,USA,48.31140472,-114.2550694,20076753,
FLG,Flagstaff Pulliam,Flagstaff,AZ,USA,35.13845472,-111.6712183,20006240,eyJ1ZmkiOjIwMDA2MjQwfQ==
FLO,Florence Regional,Florence,SC,USA,34.18536111,-79.72388889,-117543,eyJ1ZmkiOjIwMDQ1MDk0fQ==
FNT,Bishop,Flint,MI,USA,42.96550333,-83.74345639,20064627,eyJ1ZmkiOjIwMDk4MzM4fQ==
FOE,Forbes ,Topeka,KS,USA,38.95095194,-95.66361444,20043492,
FSD,Joe Foss ,Sioux Falls,SD,USA,43.58135111,-96.74170028,20120053,eyJ1ZmkiOjIwMTIwMDUzfQ==
FSM,Fort Smith Regional,Fort Smith,AR,USA,35.33659028,-94.36744111,20008746,
FWA,Fort Wayne International,Fort Wayne,IN,USA,40.97846583,-85.19514639,20037463,
GCC,Gillette-Campbell County,Gillette,WY,USA,44.34889806,-105.5393614,20151803,eyJ1ZmkiOjIwMDIyNDMxfQ==
GCK,Garden City Regional,Garden City,KS,USA,37.92751556,-100.7244147,20086610,eyJ1ZmkiOjIwMDg2NjEwfQ==
GEG,Spokane Intl,Spokane,WA,USA,47.61985556,-117.5338425,20144997,
GFK,Grand Forks International,Grand Forks,ND,USA,47.949255,-97.17611111,20096187,
GGG,Gregg County,Longview,TX,USA,32.38486111,-94.71171,20129442,
GJT,Walker ,Grand Junction,CO,USA,39.1224125,-108.5267347,20017560,eyJ1ZmkiOjIwMDY0NzgzfQ==
GNV,Gainesville Regional,Gainesville,FL,USA,29.69005556,-82.27177778,20022398,eyJ1ZmkiOjIwMDIyMzk4fQ==
GPT,Gulfport-Biloxi Regional,Gulfport-Biloxi,MS,USA,30.40728028,-89.07009278,,
GRB,Austin Straubel International,Green Bay,WI,USA,44.48507333,-88.12959,20150048,
GRI,Central Nebraska Regional ,Grand Island,NE,USA,40.96747222,-98.30861111,20078032,eyJ1ZmkiOjkwMDA0MDkzOX0=
GRK,Robert Gray AAF,Killeen,TX,USA,31.06489778,-97.82779778,20129023,
GRR,Kent County International,Grand Rapids,MI,USA,42.88081972,-85.52276778,20064786,eyJ1ZmkiOjIwMDY0Nzg2fQ==
GSO,Piedmont Triad International,Greensboro,NC,USA,36.09774694,-79.9372975,20092632,eyJ1ZmkiOjIwMDkyNjMyfQ==
GSP,Greenville-Spartanburg,Greer,SC,USA,34.89566722,-82.21885833,20116791,eyJ1ZmkiOjIwMTE2NzkxfQ==
GST,Gustavus,Gustavus,AK,USA,58.42438139,-135.7073814,20005194,
GTF,Great Falls Intl,Great Falls,MT,USA,47.48200194,-111.3706853,20076611,eyJ1ZmkiOjIwMTM4MTE2fQ==
GTR,Golden Triangle Regional,Columbus-Starkville-West Point,MS,USA,33.45033444,-88.59136861,,
GUC,Gunnison County,Gunnison,CO,USA,38.53396333,-106.9331817,20017585,
GUM,Guam International,Agana,GU,USA,13.48345,-144.7959825,-2325805,
HDN,Yampa Valley,Hayden,CO,USA,40.48118028,-107.2176597,20031852,eyJ1ZmkiOjIwMDE3NjEzfQ==
HIB,Chisholm-Hibbing,Hibbing,MN,USA,47.38659917,-92.83899333,20067447,
HLN,Helena Regional,Helena,MT,USA,46.60681806,-111.9827503,20076660,
HOB,Lea County Regional,Hobbs,NM,USA,32.68752778,-103.2170278,20083594,
HPN,Westchester Cty,White Plains,NY,USA,41.06695778,-73.70757444,20090657,eyJ1ZmkiOjIwMDkwNjU3fQ==
HRL,Valley International,Harlingen,TX,USA,26.22850611,-97.65439389,20128516,
HSV,Huntsville International ,Huntsville,AL,USA,34.6404475,-86.77310944,20002147,eyJ1ZmkiOjIwMDAyMTQ3fQ==
HTS,Tri-State Walker-Long ,Huntington,WV,USA,38.36666667,-82.55802778,20147067,eyJ1ZmkiOjIwMDg3MjI4fQ==
HYA,Barnstable Mun Boardman Polando ,Hyannis,MA,USA,41.66933639,-70.28035583,20062427,eyJ1ZmkiOjIwMDYyNDI3fQ==
HYS,Hays Municipal,Hays,KS,USA,38.84494167,-99.27403361,20042673,
ICT,Wichita Mid-Continent,Wichita,KS,USA,37.64995889,-97.43304583,20043614,
IDA,Idaho Falls Regional,Idaho Falls,ID,USA,43.51455556,-112.0701667,20031899,
ILG,New Castle County ,Wilmington,DE,USA,39.67872222,-75.60652778,20095750,eyJ1ZmkiOjIwMDk1NzUwfQ==
ILM,Wilmington International,Wilmington,NC,USA,34.27061111,-77.90255556,20095750,eyJ1ZmkiOjIwMDk1NzUwfQ==
IMT,Ford,Iron Mountain Kingsford,MI,USA,45.81835417,-88.1145425,,
INL,Falls International,International Falls,MN,USA,48.56618722,-93.40306667,20067510,
IPL,Imperial County,Imperial,CA,USA,32.83422028,-115.5787456,,eyJ1ZmkiOjIwMTA5NDA5fQ==
ISN,Sloulin Field International,Williston,ND,USA,48.17793861,-103.6423467,20096715,eyJ1ZmkiOjIwMTM1MzYyfQ==
ISP,Long Island - MacArthur,Islip,NY,USA,40.7952425,-73.10021194,-2599625,
ITH,Tompkins Cty ,Ithaca,NY,USA,42.49102778,-76.45844444,20087309,eyJ1ZmkiOjIwMDg3MzA5fQ==
ITO,Hilo International,Hilo,HI,USA,19.72026306,-155.0484703,20030905,eyJ1ZmkiOjIwMDMwOTA1fQ==
IYK,Inyokern,Inyokern,CA,USA,35.65884306,-117.8295122,20013661,
JAC,Jackson Hole,Jackson,WY,USA,43.60732417,-110.7377389,20151854,eyJ1ZmkiOjIwMTUxODU0fQ==
JAN,Jackson International,Jackson,MS,USA,32.31116667,-90.07588889,20151854,eyJ1ZmkiOjIwMTUxODU0fQ==
JLN,Joplin Regional,Joplin,MO,USA,37.15181361,-94.49826833,20073645,
JMS,Jamestown Municipal,Jamestown,ND,USA,46.92971944,-98.67819528,20087324,
JNU,Juneau International,Juneau,AK,USA,58.35496194,-134.5762764,20005244,eyJ1ZmkiOjIwMDA1MjQ0fQ==
KOA,Kona International At Keahole,Kailua Kona,HI,USA,19.73876583,-156.0456314,,
KTN,Ketchikan International,Ketchikan,AK,USA,55.35556861,-131.71374,20005272,eyJ1ZmkiOjIwMDA1MjcyfQ==
LAN,Capital City,Lansing,MI,USA,42.7787,-84.58735806,20065178,eyJ1ZmkiOjIwMDg3NTgxfQ==
LAR,Laramie Regional,Laramie,WY,USA,41.31205,-105.6749864,20151885,
LAW,Lawton-Ft Sill Regional,Lawton,OK,USA,34.56771444,-98.41663667,20103026,
LBB,Lubbock International,Lubbock,TX,USA,33.66363889,-101.8227778,20129490,
LCH,Lake Charles Regional,Lake Charles,LA,USA,30.1260975,-93.22340361,20049780,
LEX,Blue Grass ,Lexington,KY,USA,38.03697222,-84.60538889,20046010,eyJ1ZmkiOjIwMDQ2MDEwfQ==
LFT,Lafayette Regional,Lafayette,LA,USA,30.20527972,-91.987655,20049769,eyJ1ZmkiOjIwMDQ5NzY5fQ==
LGB,Long Beach (Daugherty ),Long Beach,CA,USA,33.81772222,-118.1516111,20014160,eyJ1ZmkiOjIwMDE0MTYwfQ==
LIH,Lihue,Lihue,HI,USA,21.97598306,-159.3389581,20031085,eyJ1ZmkiOjIwMDMxMDg1fQ==
LMT,Klamath Falls International,Klamath Falls,OR,USA,42.15614361,-121.7332081,20104624,
LNK,Lincoln Municipal,Lincoln,NE,USA,40.85097222,-96.75925,20078217,eyJ1ZmkiOjIwMDc5OTA3fQ==
